"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"105","105 2019",2019-04-05,"CHN",7,"MIL",8,10,13,39,12,1,0,3,10,0,0,2,2,0,14,0,0,0,6,36,15,2,0,5,13,0,0,0,5,0,8,1,0,3,5
"106","106 2019",2019-04-05,"MIN",6,"PHI",6,4,10,38,11,1,1,2,4,0,0,0,1,0,10,0,0,0,8,33,11,3,0,0,9,0,1,1,9,1,7,0,0,1,10
"107","107 2019",2019-04-05,"CIN",7,"PIT",6,0,2,28,3,2,0,0,0,0,0,1,1,0,10,0,1,0,3,29,5,2,0,0,2,1,0,0,0,0,8,1,0,0,4
"108","108 2019",2019-04-05,"TBA",8,"SFN",8,5,2,38,11,4,0,2,5,0,0,1,1,0,8,0,0,0,8,36,8,3,0,0,2,0,0,1,2,0,8,1,0,1,10
"109","109 2019",2019-04-05,"SDN",8,"SLN",7,5,3,35,9,1,0,2,5,0,1,0,6,0,10,0,0,0,10,31,4,1,0,2,3,0,0,0,2,0,7,0,0,0,3
"110","110 2019",2019-04-05,"TEX",8,"ANA",8,1,3,32,6,1,0,1,1,0,0,0,3,0,12,2,0,1,7,29,6,1,0,2,3,0,0,0,1,0,7,0,0,1,3
"111","111 2019",2019-04-05,"SEA",9,"CHA",6,8,10,35,9,1,0,4,8,0,1,0,5,0,9,1,0,0,6,34,9,3,0,1,8,0,0,1,5,0,6,1,0,2,6
"112","112 2019",2019-04-05,"TOR",9,"CLE",7,2,3,30,3,1,0,1,2,0,0,0,3,1,14,0,0,0,4,28,4,1,0,2,3,0,0,0,3,0,10,1,0,1,3
"113","113 2019",2019-04-05,"OAK",11,"HOU",8,2,3,33,7,1,0,0,2,0,0,0,3,0,7,1,1,0,7,32,9,1,0,1,3,0,0,0,4,0,9,0,0,1,9
"114","114 2019",2019-04-06,"BOS",10,"ARI",9,4,5,30,6,1,0,0,4,1,1,0,6,1,7,0,0,1,7,34,11,2,0,0,5,0,0,0,1,0,6,0,0,1,4
"115","115 2019",2019-04-06,"MIA",9,"ATL",8,4,2,32,8,0,0,3,4,0,0,0,3,0,7,1,0,2,4,34,6,2,0,0,2,0,0,1,8,2,7,0,0,1,14
"116","116 2019",2019-04-06,"LAN",9,"COL",9,7,2,31,11,1,2,1,7,1,3,1,3,0,9,0,1,2,5,32,6,1,0,1,2,0,0,0,4,0,6,0,0,1,7
"117","117 2019",2019-04-06,"CHN",8,"MIL",9,14,8,39,12,2,0,4,14,0,1,0,9,0,11,3,0,0,8,35,10,2,0,3,8,1,1,0,3,0,7,0,0,0,6
"118","118 2019",2019-04-06,"WAS",7,"NYN",8,5,6,32,7,1,0,2,4,1,0,0,6,0,11,0,1,0,7,32,11,2,0,5,6,0,0,1,2,0,10,1,2,1,5
"119","119 2019",2019-04-06,"MIN",7,"PHI",7,6,2,33,7,0,0,3,5,0,0,1,5,1,1,1,0,2,6,32,7,2,0,1,2,0,1,0,3,0,6,0,0,0,7
"120","120 2019",2019-04-06,"CIN",8,"PIT",7,5,6,38,8,2,0,2,5,0,0,0,0,0,9,0,0,1,3,38,12,4,0,1,6,1,0,0,3,0,8,1,0,0,8
"121","121 2019",2019-04-06,"TBA",9,"SFN",9,4,6,35,9,1,0,0,4,0,1,0,2,0,5,1,0,0,7,30,8,1,0,1,6,1,1,0,3,0,4,1,0,0,5
"122","122 2019",2019-04-06,"SDN",9,"SLN",8,6,4,35,9,3,0,3,6,0,0,0,10,0,8,2,0,1,12,34,9,2,0,1,4,1,1,0,6,0,10,0,0,0,11
"123","123 2019",2019-04-06,"TEX",9,"ANA",9,1,5,31,6,3,0,0,1,1,0,1,1,0,12,0,0,1,6,33,10,2,0,2,5,0,0,2,5,1,7,2,0,0,11
"124","124 2019",2019-04-06,"NYA",8,"BAL",8,6,4,35,11,2,0,3,6,0,0,1,3,0,7,0,0,1,6,36,8,2,0,1,4,0,1,2,3,0,9,1,0,0,11
"125","125 2019",2019-04-06,"SEA",10,"CHA",7,9,2,38,14,3,0,3,9,0,0,1,6,0,11,0,0,1,9,37,10,1,0,2,2,0,0,0,1,0,10,0,0,0,9
"126","126 2019",2019-04-06,"TOR",10,"CLE",8,2,7,37,10,4,0,1,2,0,0,1,1,0,14,0,0,0,10,33,8,3,0,0,5,0,0,0,6,0,13,2,0,0,8
"127","127 2019",2019-04-06,"KCA",7,"DET",9,4,7,33,6,0,0,3,4,0,0,0,2,0,8,1,0,0,4,33,10,3,0,1,6,0,0,1,6,0,3,0,0,1,9
"128","128 2019",2019-04-06,"OAK",12,"HOU",9,0,6,32,6,1,0,0,0,0,0,0,4,0,7,0,0,1,9,34,11,3,0,3,6,0,0,0,2,0,4,0,0,1,6
"129","129 2019",2019-04-07,"BOS",11,"ARI",10,1,0,31,5,0,0,1,1,0,0,0,2,1,10,0,0,1,5,29,3,2,0,0,0,1,0,0,1,0,8,0,0,0,4
"130","130 2019",2019-04-07,"MIA",10,"ATL",9,3,4,33,7,1,0,1,3,0,0,0,2,0,4,0,0,1,5,29,7,1,0,2,4,0,0,0,3,0,8,0,0,1,5
"131","131 2019",2019-04-07,"LAN",10,"COL",10,12,6,35,12,5,0,2,9,2,1,0,10,1,4,0,0,2,9,34,10,1,3,0,6,0,2,2,5,0,8,0,0,0,10
